t,th1,w1,th2,w2,x1,y1,x2,y2
0.0,2.0943951023931953,0.0,-0.17453292519943295,0.0,0.8660254037844387,0.4999999999999998,0.6923772261175084,-0.48480775301220824
0.01,2.0938942246714474,-0.10017339692754762,-0.17476960874416023,-0.04731532358788912,0.8662757340012697,0.4995661644672921,0.692394473410465,-0.485200461295052
0.02,2.092391720539172,-0.20032094622319702,-0.17547837609588976,-0.09437395235763196,0.8670253561286746,0.49826401819712496,0.692446168837619,-0.4863791188656358
0.03,2.0898879795412184,-0.30041631279898706,-0.17665537506144002,-0.14091871999811598,0.8682701613077085,0.49609165179701004,0.6925321712550542,-0.4883453237642766
0.04,2.0863836590031717,-0.4004321977674455,-0.17829417750837798,-0.18669153044622924,0.8700032906264576,0.4930459150009617,0.6926522395589041,-0.4911017389032856
0.05,2.081879695962576,-0.5003398844770908,-0.18038576788110638,-0.231432926134983,0.8722151194064153,0.48912246470475346,0.692806024014607,-0.4946520910196223
0.06,2.076377323480024,-0.600108818455527,-0.18291852758745408,-0.2748816960712841,0.8748932362122515,0.4843158321075758,0.6929930543723845,-0.49900116858275256
0.07,2.0698780909317827,-0.6997062331863089,-0.1858782157209003,-0.31677453711609216,0.8780224175817904,0.47861950882076243,0.6932127250323253,-0.5041548180416013
0.08,2.062383887763945,-0.7990968341426661,-0.189247946717374,-0.35684578184473176,0.8815845997393809,0.47202605171998263,0.6934642776096324,-0.510119937632822
0.09,2.053896970061068,-0.8982425540739424,-0.1930081656789933,-0.39482720627303636,0.8855588488062701,0.4645272062010078,0.6937467813454261,-0.5169044678224042
0.1,2.044419989149227,-0.9971023931550902,-0.1971366222288516,-0.430447930478019,0.8899213312502721,0.4561140473453361,0.6940591119113063,-0.5245173773171692
0.11,2.033956021314244,-1.0956323582234493,-0.2016083438889663,-0.4634344246371104,0.8946452865168996,0.4467771383062195,0.6943999292660514,-0.5329686434655012
0.12,2.022508597570701,-1.1937855158895179,-0.20639561009482826,-0.4935106321599033,0.8997010039469234,0.4365067049850414,0.6947676553389052,-0.542269225771485
0.13,2.0100817322671274,-1.291512174760555,-0.21146792807062298,-0.5203982202788661,0.905055806201356,0.42529282578150046,0.695160452433191,-0.5524310311773737
0.14,1.9966799491587917,-1.3887602122915668,-0.21679201188395456,-0.5438169665764625,0.9106740414733465,0.4131256348698317,0.6955762033627464,-0.5634668697297818
0.15,1.982308303424012,-1.485475561806332,-0.22233176607131044,-0.5634852873224282,0.916517086755651,0.3999955370812709,0.6960124944469199,-0.5753903992386866
0.16,1.9669723979456355,-1.5816028749387578,-0.22804827526773333,-0.579120910039673,0.9225433643398109,0.38589343206717436,0.6964666025914752,-0.5882160575680444
0.17,1.950678392029895,-1.6770863740625217,-0.2338998012770219,-0.5904416882767632,0.9287083735365869,0.37081094498818057,0.6969354877656241,-0.6019589812643739
0.18,1.9334330005944358,-1.7718709081454653,-0.23984178897179473,-0.5971665510180043,0.9349647393147446,0.35474066053683756,0.6974157922416401,-0.6166349093353203
0.19,1.9152434817306248,-1.865903223844737,-0.24582688230434108,-0.5990165724112543,0.94126227914671,0.3376763566723926,0.6979038479847917,-0.6322600711322393
0.2,1.8961176104372823,-1.9591334615399019,-0.2518049515269702,-0.5957161394774156,0.947548088817055,0.3196132340488212,0.698395693559428,-0.6488510574650102
0.21,1.876063636238562,-2.051516883418251,-0.2577231324517958,-0.586994186172015,0.9537666472888299,0.30054813677583286,0.698887101844335,-0.666424674276271
0.22,1.8550902223420849,-2.143015837771073,-0.2635258782119721,-0.5725854516476081,0.9598599399334828,0.2804797598952385,0.6993736197206779,-0.6849977784152042
0.23,1.8332063639675864,-2.233601960495873,-0.2691550235075861,-0.5522317089353778,0.9657675985178201,0.2594088388107134,0.6998506207047367,-0.7045870952630544
0.24,1.8104212834821571,-2.3232586116778577,-0.2745498607195276,-0.5256828977180068,0.9714270553174236,0.23733831590646975,0.7003133712437983,-0.7252090181545761
0.25,1.7867443000135805,-2.4119835423930733,-0.2796472265457926,-0.49269808166423323,0.9767737076073899,0.21427347975639266,0.7007571110790088,-0.7468793896878435
0.26,1.7621846712722018,-2.4997917849901508,-0.2843815969517984,-0.4530461372491431,0.9817410875910519,0.19022207268226904,0.7011771477096203,-0.7696132650909391
0.27,1.736751405383007,-2.5867187596319905,-0.2886851872275982,-0.4065060674216982,0.9862610315927194,0.16519436298392534,0.7015689645789105,-0.7934246577847036
0.28,1.7104530405957985,-2.672823591483677,-0.2924880528117558,-0.3528668201991957,0.9902638410909261,0.13920317894302897,0.701928342156936,-0.8183262671078415
0.29,1.683297390777935,-2.758192637387685,-0.2957181852779873,-0.2919264794656978,0.9936784269329706,0.11226390269368393,0.7022514906362021,-0.8443291878106742
0.3,1.6552912545683642,-2.8429432290265626,-0.2983015964915647,-0.22349068294433894,0.9964324268736668,0.0843944232438052,0.7025351925020554,-0.8714426003270116
0.31,1.626440085941992,-2.9272276523622778,-0.3001623824318243,-0.14737011023976504,0.9984522854355754,0.055615049298515344,0.7027769528087493,-0.8996734399423085
0.32,1.5967476236486213,-3.0112374015449457,-0.30122275654440817,-0.06337687136324899,0.99966328399378,0.025948384049324136,0.7029751546004015,-0.9290260417218889
0.33,1.566215476489491,-3.0952077705403216,-0.30140304072280316,0.02868038786588757,0.9999895079235871,-0.004580834284517156,0.7031292165729387,-0.9595017563608994
0.34,1.534842660604842,-3.1794228785340466,-0.3006216001000255,0.12900286439419203,0.9993537365651504,-0.03594592067637237,0.7032397497773887,-0.9910985298591444
